ID,Yield
ID_F9XXEXN2ADR2,591.6
ID_SO3VW2X4QO93,415.73
ID_UKUQ7JM8E894,505.12
ID_QUISMWEZR2H4,302.25
ID_25JGI455VKCZ,539.35
ID_KQEAOXF3RPV6,336.34
ID_FSNZCPW9HTD2,1949.36
ID_U2TOPOA0T40S,293.7
ID_XVQLSUKOT04J,1146.35
ID_EAZAU6IW58PK,167.04
ID_WI17R25TC2VU,335.2383333333333
ID_OPR9MJWG40U7,1687.15
ID_P9K9GAHC6FX6,695.37
ID_SCAOUCCTJ75Z,9.84
ID_MUP1OS8GZR5E,2872.5
ID_WVBSZ9VBC9HE,681.35
ID_9MGH1WIKFBNB,402.0933333333333
ID_3M2O3EPOM18C,2009.5
ID_K9MOR4N1FWIB,562.23
ID_VJPUPMSQARO5,1213.33
ID_7WIMK3DXIU3Q,1304.78
ID_6QXVH0EUS60J,1184.5
ID_CA9GH6Q53A1Q,214.44
ID_94KO4EQ6TA3S,248.23
ID_2WH3AXUWRS2A,237.5
ID_LBS8TBC6QEF1,303.25
ID_Y3YARETW8RAP,1302.25
ID_BY9JJAIKBRGP,461.87
ID_0U5AM482W1DE,395.2
ID_G0I28ORJC3OP,452.19
ID_Q34ED4EMSA3R,615.51
ID_LN3LXEG984XM,596.65
ID_0JTIPPYRJND0,765.0
ID_2MRD9I2X8UXB,199.5
ID_KH1FHLUW2T4X,260.94
ID_RFM5MWSIU1JX,330.2383333333333
ID_IAH2UTMDVU8F,243.45
ID_9SNP46T1GSJI,720.23
ID_DSQ9ISYFW4DB,431.44
ID_B8XYLC3NM6XD,6.0
ID_HOG9LK4CTN8K,496.1
ID_L3RTRS1QIY6D,325.37
ID_03QW4RBYQEBK,401.85
ID_ZJSYN3ZHXK5K,843.18
ID_UPRM76SZ7IJJ,663.91
ID_YB866N9RY5TU,525.09
ID_4H0KNHPKF9BK,171.62
ID_TOIT03A3WTTD,379.37
ID_4P7NKCB6LMJ5,10.0
ID_1TIMGZJLRLWF,578.41
ID_25E6065LQDON,682.17
ID_SOB9B3H12POE,888.55
ID_A8RF0GQGJF5H,849.3
ID_GT36LGF8SM8K,541.13
ID_E9OHGDA3U6DG,440.48
ID_HXWHLMRE99CE,1221.22
ID_3VL9DLFRG5A3,273.03
ID_OKPI3DR2ZQPJ,289.72133333333335
ID_XZO6ECCAOC94,900.2
ID_4X2UWYR6RIE2,820.75
ID_1LVAHN6PZYBS,722.75
ID_HRAJFKTPCNWQ,2031.63
ID_TK4H5NRKHOE8,345.6
ID_9U0UBT1J8152,322.61
ID_3EUKVYT37JOP,236.5
