ID,District,Block,LandPreparationMethod,CropTillageDate,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,NursDetFactor,TransDetFactor,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,OrgFertilizers,PCropSolidOrgFertAppMethod,CropbasalFerts,MineralFertAppMethod,FirstTopDressFert,MineralFertAppMethod.1,Harv_method,Harv_date,Threshing_date,Threshing_method,Stubble_use,Yield
1822,2,6,18,49,3,26,20,10,47,0,1,5,2,23,0,9,0,1,54,41,1,1,600.0
3127,2,7,41,47,3,19,19,24,47,0,1,5,2,9,0,9,0,0,63,79,1,1,600.0
161,0,2,18,29,3,19,43,95,133,0,1,6,2,0,2,9,1,0,80,96,1,1,225.0
1939,0,2,18,15,3,16,16,24,47,0,1,5,2,9,0,9,0,0,70,84,0,1,468.0
520,2,6,24,48,3,20,19,10,150,0,1,5,2,24,0,9,0,1,68,57,1,1,550.0
3415,3,1,15,31,2,14,5,35,46,0,1,0,2,7,2,9,0,0,31,29,0,1,205.0
731,1,4,15,52,3,34,29,35,47,1,1,5,2,0,0,9,0,0,42,63,1,1,270.0
3387,2,7,6,26,0,27,21,24,47,0,1,5,2,9,0,9,0,1,73,61,0,1,490.0
765,1,4,15,53,3,38,32,35,47,1,1,0,2,0,0,9,0,0,45,70,1,1,425.0
1569,2,6,29,43,3,26,15,10,24,0,1,5,2,23,0,9,0,0,36,39,0,1,300.0
997,1,4,15,50,2,29,25,71,133,0,0,0,2,0,0,9,0,0,69,78,0,1,1300.0
2336,2,6,15,52,3,22,23,10,150,0,1,5,2,9,0,9,0,0,52,106,1,1,450.0
818,2,6,15,52,3,19,23,10,150,0,1,5,2,9,0,9,0,1,67,55,1,1,450.0
3027,1,3,16,52,3,18,28,1,21,0,1,5,0,9,0,4,0,0,68,118,0,1,800.0
2595,1,3,16,28,3,20,26,1,34,0,1,5,0,9,0,10,0,0,64,112,0,1,280.0
3771,2,7,18,39,0,27,11,24,47,0,1,0,0,15,0,4,0,1,85,72,1,1,720.0
2151,0,2,18,54,3,24,27,1,46,0,1,5,2,17,0,9,0,0,60,73,0,1,750.0
2528,3,1,6,37,3,17,10,111,129,0,1,0,2,7,2,9,0,0,22,22,0,1,350.0
2836,3,1,15,49,2,29,26,107,45,0,1,29,2,7,2,9,0,0,38,40,0,1,210.0
2365,2,7,18,11,3,19,13,24,47,0,1,5,2,0,0,9,0,0,63,151,1,1,480.0
1180,2,7,41,42,3,24,13,24,24,0,1,5,2,0,2,4,0,0,80,91,1,1,1200.0
209,2,6,15,45,3,17,16,1,129,0,1,5,2,23,0,9,0,0,27,27,1,1,720.0
1811,1,4,15,55,3,33,34,71,127,0,0,0,2,0,0,9,0,0,69,71,0,1,1100.0
3599,3,5,42,34,3,25,9,28,21,1,0,5,2,24,2,9,2,0,22,19,0,1,250.0
3186,3,5,18,6,3,12,21,0,36,0,0,0,0,0,0,9,0,0,22,20,0,1,8.0
117,3,0,18,43,3,36,27,49,94,1,0,5,2,9,0,10,0,0,25,20,0,1,400.0
2211,3,5,18,24,3,1,3,1,47,0,1,6,2,0,0,9,0,0,43,40,0,1,400.0
3414,1,3,39,24,3,28,44,0,0,0,1,5,0,9,0,9,0,0,49,108,1,1,320.0
507,1,3,39,37,3,35,25,0,0,0,1,5,0,9,0,9,0,0,47,108,1,1,4000.0
3238,0,2,18,56,3,24,29,1,46,0,1,5,2,0,0,9,0,0,58,71,0,1,800.0
3608,1,4,15,55,3,26,26,65,66,0,1,5,2,9,0,9,0,0,49,88,1,1,400.0
