CultLand,CropCultLand,CropTillageDepth,SeedlingsPerPit,TransplantingIrrigationHours,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,NoFertilizerAppln,BasalDAP,BasalUrea,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,Harv_hand_rent,Residue_length,Residue_perc,Acre,Yield
45.0,40.0,5.0,2.0,5.0,200.0,2.0,29.731589814177564,57.44565217391305,2.0,11.452359483017734,20.0,15.0,18.0,7.375,58.76495726495727,536.6224433388612,30.0,40.0,0.3125,600.0
26.0,26.0,5.0,2.0,5.0,125.0,3.0,29.731589814177564,57.44565217391305,2.0,15.0,10.0,20.0,39.0,7.375,58.76495726495727,3.0,24.0,10.0,0.3125,600.0
10.0,10.0,6.0,2.0,4.0,80.0,2.0,1.0,1.0,2.0,4.0,13.35180055401662,5.0,65.0,7.375,58.76495726495727,480.0,30.0,10.0,0.1481481481481481,225.0
15.0,15.0,6.0,2.0,8.01767745444656,379.7269076305221,3.247522026431718,1.0,57.44565217391305,2.0,6.0,3.0,5.0,5.0,7.375,58.76495726495727,240.0,26.0,10.0,0.2222222222222222,468.0
60.0,60.0,4.0,2.0,9.0,300.0,2.0,29.731589814177564,57.44565217391305,2.0,15.0,30.0,30.0,26.0,7.375,58.76495726495727,536.6224433388612,24.0,40.0,0.46875,550.0
10.0,5.0,6.0,1.0,1.0,379.7269076305221,3.0,29.731589814177564,5.0,2.0,6.0,13.35180055401662,6.0,30.0,7.375,58.76495726495727,600.0,30.0,10.0,0.1363636363636364,205.0
12.0,12.0,3.0,4.0,1.0,379.7269076305221,6.0,1.0,57.44565217391305,3.0,3.0,13.35180055401662,4.0,28.0,6.0,67.0,130.0,25.0,10.0,0.1363636363636364,270.0
80.0,80.0,4.0,2.706506562412734,5.0,379.7269076305221,3.0,29.731589814177564,57.44565217391305,2.0,15.0,8.0,15.0,35.0,7.375,58.76495726495727,536.6224433388612,25.0,40.0,0.25,490.0
25.0,25.0,4.0,4.0,2.0,379.7269076305221,5.0,29.731589814177564,2.0,3.0,5.0,13.35180055401662,5.0,20.0,7.0,58.0,130.0,26.0,10.0,0.2272727272727273,425.0
20.0,10.0,5.0,3.0,2.0,100.0,1.0,29.731589814177564,57.44565217391305,2.0,11.452359483017734,10.0,5.0,20.0,7.375,58.76495726495727,80.0,22.0,10.0,0.15625,300.0
